Number of episodes,Total_runtime,Avg cost of machines in €,Overall cost of machines in €,Avg response time of completed task instances,Avg util of Near Edge cluster,Avg util of Far Edge cluster,Avg util of Cloud cluster,Avg response time of Near Edge cluster, Avg response time of Far Edge cluster, Avg response time of Cloud cluster
200,265,0.02329699319999993,1.1881466532,177.33088780591163,0.656028486472288, 0.2851952770061728, 0.33255603690570007,168.59271976775833, 165.19387471377167, 193.5335634985107
200,305,0.021328792105263094,1.3009563184202,198.30504088719616,0.4501149715897309, 0.2486189991471735, 0.2568984265480486,211.11416912487707, 170.02629315717313, 194.4040098733234
200,360,0.01972307024999994,1.4199610579999969,228.48210017074555,0.3867627433018125, 0.18261531225887348, 0.20737056171197796,280.53130930580987, 165.68208345708347, 195.90533177486063
400,375,0.026174561400000032,1.9630921050000023,181.879956925562,0.22421755776201735, 0.19125001747685186, 0.2927914895981087,175.14902294729293, 164.10280091805507, 182.10970695970695
400,335,0.024410472462403,1.6355016990000005,214.29239385065884,0.2679279220916693, 0.24072429311774463, 0.29114510329557886,210.28077763897563, 176.12275376067219, 207.4374625074985
400,470,0.01435107935106459,1.3490014589999952,247.17533322225927,0.06608008123333836, 0.22624990054299643, 0.24208280795734624,177.19762773722628, 210.2639538817162, 240.3166093147434
600,290,0.020670740999999944,1.6123777979999954,177.0454250486697,0.28542837803843124, 0.318116593215812, 0.1621628297569255,162.08739405307767, 169.47467578499645, 176.79157494610236
600,270,0.02115592049999984,1.1424197079999967,230.32600785787497,0.4459909187023904, 0.40775830777391975, 0.22505265464933022,207.6709235896215, 203.75557497909858, 177.7218247734139
600,505,0.013147434801980174,1.3278909149999971,398.3799012593016,0.3632289704608759, 0.19220762634075908, 0.08300788492147088,354.3096660147435, 330.6057824974808, 174.27943130347257
800,245,0.028309297499999913,1.3871549339999967,170.37791228629075,0.4611365227768686, 0.4250809448450855, 0.2148224389661757,155.78120323807188, 160.99869834334609, 176.88573868018068
800,265,0.024634895264150865,1.3056494489999958,214.60546179090483,0.38592100227485615, 0.2909537860324948, 0.3652011609572238,181.13860061919504, 190.42597137014316, 215.70434411052556
800,510,0.011874680999999966,1.2112174619999969,295.9627870563674,0.26013927432438694, 0.04849397152437364, 0.21348156491911183,309.54435751674455, 152.81778362305581, 232.0791472624292
1000,270,0.025428292499999924,1.3727277949999957,168.79631967372305,0.4580745052972595, 0.4058344511959877, 0.2613476064924262,152.33692441896692, 161.68125941374117, 172.88554302747539
1000,310,0.023078818285714235,1.430886733714,213.36268862354024,0.5397988960655185, 0.22134265283978174, 0.3260227166708883,188.30195508481324, 202.84586128543606, 209.62457489532599
1000,430,0.016429052929332513,1.4128985519999962,255.4280250037208,0.2526928242344274, 0.23706512233527132, 0.2796238664165155,260.1323017255026, 231.8731813561783, 238.00146148859685
1200,235,0.028886489509090878,1.3576650069287998,166.37112218370885,0.50267106039114544, 0.42681961237373736, 0.2830358862024501,146.70628006413683, 156.33609437468326, 172.99170944838886
1200,275,0.02282406218181812,1.2553234199999959,214.82972726165835,0.4097300217064259, 0.3893365672348485, 0.23595437728347307,189.52567567567567, 202.57356525763653, 222.64853798329125
1200,485,0.011950464432989662,1.1591950499999984,378.0112356792144,0.2492026432453511, 0.2720580720217641, 0.29352347590845946,254.61314357471747, 348.96778059175986, 327.63147144643601
